province,city_name,一九九七,一九九八,一九九九,二零零零,二零零一,二零零二,二零零三,二零零四,二零零五,二零零六,二零零七,二零零八,二零零九,二零一零,二零一一,二零一二,二零一三,总计
湖北,汇总,2531.67,2686.01,2173.27,2238.35,2377.5,2477.12,2704.24,3038.5,2767.88,3106.13,3706.09,4403.03,5354.65,6602.51,8625.32,10284.43,11715.95,76792.65
湖南,常德,177.02,185.77,183.93,222.66,233.97,248.28,273.2,321.61,355.54,399.86,464.87,538.27,657.19,782.16,933.88,1035.5,1150.55,8164.26
湖南,郴州,138.29,154.51,170.1,185.04,185.26,205.46,235.93,291.98,353.89,405.53,463.43,528.72,565.45,735.63,929.44,1055.73,1210.09,7814.48
湖南,衡阳,232.67,248.89,268.72,285.46,279.04,298.73,332.66,410.27,463.71,525.43,623.71,748.15,847.09,1015.45,1236.01,1374.59,1508.96,10699.54
湖南,怀化,127.17,146.64,147.1,158.27,147.81,155.73,173.34,192.76,227.33,260.08,327.66,380.86,418.37,504.93,666.8,746.75,833.07,5614.67
湖南,娄底,126.72,134.93,140.18,119.52,121.58,127.39,141.49,173.21,213.56,251.05,313.7,374.43,398.25,469.17,588.59,697.48,782.62,5173.87
湖南,邵阳,194.66,216.26,225.02,238.86,222.89,242.5,269.79,305.05,296.21,336.08,387.63,459.43,483.9,596.37,747.73,846.57,926.31,6995.26
湖南,湘潭,95.65,101.56,104.16,106.71,108.55,117.03,118.84,148.2,155.38,179.48,230.79,278.79,309.22,364.65,437.61,508.6,583.26,3948.48
湖南,湘西,57.06,58.84,61.36,65.89,71.81,75.4,82.87,98.57,123.32,148.79,190.67,229.07,268.97,303.54,361.36,397.51,418.94,3013.97
湖南,益阳,95.4,96.61,101.48,109.02,101.99,108.59,123.86,152.78,176.14,200.32,245.1,296.45,352.28,406.08,532.47,615.58,682.4,4396.55
湖南,永州,140.91,150.47,163.46,173.87,164.75,173.43,189.36,221.8,254.18,290.87,354.67,415.19,450.4,539.33,666.27,749.17,833.14,5931.27
湖南,岳阳,129.86,138.35,144.91,154.77,169.04,200.62,218.35,249.48,269.52,305.9,388.28,477.87,567.68,692.14,849.76,963.05,1075.07,6994.65
湖南,张家界,20.87,21.99,24.55,26.14,26.55,29.12,32.77,37.4,52.59,60.49,73.74,84.26,99.69,119.96,149.66,169.93,184.51,1214.22
湖南,长沙,213.63,242.77,261.44,266.25,294.42,324.14,378.32,453.45,610.39,724.01,891.23,1183.28,1494.63,1919.44,2457.48,2423.72,3162.82,17301.42
湖南,株洲,121.55,133.72,142.51,153.79,161.05,176.98,194.92,233.94,274.06,320.02,371.15,453.87,503.85,627.46,763.35,885.04,992.49,6509.75
湖南,汇总,1871.46,2031.31,2138.92,2266.25,2288.71,2483.4,2765.7,3290.5,3825.82,4407.91,5326.63,6448.64,7416.97,9076.31,11320.41,12469.22,14344.23,93772.39
吉林,白城,39.5,38.1,47.84,50.77,53.71,73.32,89.74,114.28,107.09,120.65,146.97,187.24,255.46,326.02,390.93,446.55,499.99,2988.16
吉林,白山,50.41,55.31,61.22,67.62,79.87,84.91,82.34,140,102.99,123.57,155.82,137.99,173.17,219.48,272.6,325.44,518.23,2650.97
吉林,吉林,136.01,160.18,182.22,177.98,211.37,247.75,295.75,336.44,274.16,326.75,441.83,592.17,668.84,776.45,958.94,1060.32,1140.94,7988.1
吉林,辽源,23.15,29.13,31.36,32.44,30.29,35.65,40.53,42.13,56.97,67.43,85.09,107.01,133.61,168.02,202.85,257.42,300.14,1643.22
吉林,四平,112.62,145.02,142.31,131.52,144.67,166.25,196.17,256.87,247.32,285.06,365.25,449.44,632.06,763.2,905.42,993.32,1083.85,7020.35
